0,0,40,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,202,0,188
40,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  
35,0,33,0,0,50,0,46,0,0,0,0,0,26,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
0,0,0,50,0,0,0,24,0,0,0,0,0,30,34,0,0,0,0
0,0,15,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,46,0,0,42,0,0,0,0,0,0,0,43,0,0,0,0
0,0,0,0,0,24,0,0,0,36,0,0,0,27,0,0,0,0,0
0,0,0,0,0,0,0,0,36,0,14,0,25,0,44,0,0,0,0
0,0,0,0,0,0,0,0,0,14,0,7,23,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,22,0,74,0
0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,0,0,0,0
0,0,0,26,42,30,0,0,27,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,34,0,43,0,44,54,0,0,0,0,0,0,70,0
0,220,0,0,0,0,0,0,0,0,0,22,0,0,0,0,84,0,42
0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,32,0
0,0,0,0,0,0,0,0,0,0,0,74,0,0,70,0,32,0,0
0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
